Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,1.4,7.0,20.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,1.4,7.0,20.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,0.0,40.0,0.0,5.7,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,0.0,10.0,30.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,45.0,60.0,75.0,65.0,90.4,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,59.0,65.0,80.0,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,90.0,100.0,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,90.0,100.0,,,100.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,0.8,5.0,10.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,0.8,5.0,10.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,80.0,90.0,100.0,,,80.0
Kenya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,80.0,90.0,100.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,22.3,28.0,38.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,22.3,28.0,38.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,19.0,24.0,28.0,1.7,4.2,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,1.7,3.0,4.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,36.0,40.0,60.0,34.8,62.4,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,36.0,38.0,50.0,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,44.9,46.5,50.0,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,44.9,46.5,50.0,,,100.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,19.0,22.0,25.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,19.0,22.0,25.0,,,80.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,14.0,18.0,25.0,3.4,17.8,50.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,,,,,,50.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,,,,,,50.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,,,,,,50.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,34.0,70.0,80.0,63.7,65.8,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,61.0,80.0,80.0,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers with professional teaching qualifications,87.0,95.0,100.0,,,70.0
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers with professional teaching qualifications,87.0,95.0,100.0,,,70.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,46.0,55.0,70.0,,71.7,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,72.0,75.0,80.0,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,45.0,55.0,70.0,219.8,74.8,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,90.0,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,80.0,80.0,90.0,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,80.0,80.0,90.0,,,100.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,75.0,75.0,80.0,,,80.0
Kyrgyzstan,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,75.0,75.0,80.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,30.0,50.0,50.0,48.0,45.0,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,30.0,63.0,80.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,45.0,33.0,33.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,45.0,33.0,33.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,55.0,55.0,60.0,59.0,43.0,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,62.0,70.0,80.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),20.0,30.0,50.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,92.0,92.0,95.0,91.0,72.0,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,98.0,100.0,100.0,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,72.0,85.0,100.0,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,72.0,85.0,100.0,,,100.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,43.0,50.0,75.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,43.0,50.0,75.0,,,80.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,6.9,20.0,30.0,35.0,6.6,50.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,20.0,30.0,50.0,,,50.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Lebanon,Refugees and asylum seekers in Lebanon,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,70.0,100.0,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,70.0,100.0,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,4.0,60.0,100.0,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,100.0,100.0,,71.1,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,80.0,100.0,100.0,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,30.0,50.0,100.0,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,30.0,50.0,100.0,,,100.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,30.0,60.0,80.0,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,30.0,60.0,80.0,,,80.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,,,,,33.3,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,,,,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,20.0,45.0,50.0,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,20.0,45.0,50.0,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,5.0,30.0,80.0,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Liberia,Refugees and Asylum seekers in Liberia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,60.0,60.0,40.0,100.0,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,60.0,60.0,40.0,100.0,100.0
