Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Indonesia,Refugees and asylum seekers in mainly urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"74,701.36","4,896.43","79,597.79",% of female secondary education teachers,50.0,50.0,,
Iraq,Internally displaced persons,Population has optimal access to education,2014,"403,216.79","700,000.00","1,103,216.79",% of primary school-aged children enrolled in primary education,12.0,14.0,20.0,,,100.0,,,,,,,,,
Iraq,Internally displaced persons,,2014,,,,,,,,,,,Primary education provided or supported,"403,216.79","700,000.00","1,103,216.79",# of children enrolled in primary education,300.0,900.0,,
Iraq,Refugees and asylum seekers,Population has optimal access to education,2014,"928,619.69","665,000.00","1,593,619.69",% of primary school-aged children enrolled in primary education,65.0,70.0,75.0,,,100.0,,,,,,,,,
Iraq,Refugees and asylum seekers,,2014,,,,,,,,,,,Primary education provided or supported,"928,619.69","665,000.00","1,593,619.69",# of children enrolled in primary education,"2,000.0","3,000.0",,
Islamic Republic of Iran,Afghan refugees and asylum seekers,Population has optimal access to education,2014,"2,634,411.16","13,904,109.35","16,538,520.51",% of primary school-aged children enrolled in primary education,60.0,80.0,80.0,,,100.0,,,,,,,,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,Population has optimal access to education,2014,"2,634,411.16","13,904,109.35","16,538,520.51",% of secondary school-aged young people enrolled in secondary education,50.0,75.0,75.0,,,80.0,,,,,,,,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,Population has optimal access to education,2014,"2,634,411.16","13,904,109.35","16,538,520.51",Extent persons of concern have access to national education systems,70.0,80.0,80.0,,,80.0,,,,,,,,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Access to tertiary education provided or supported,0.00,"525,797.82","525,797.82",# of PoC enrolled in UNHCR supported tertiary education programmes,,400.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Education monitoring system established,"176,311.83",0.00,"176,311.83",# of partners recording education achievement statistics,1.0,1.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","657,155.92","7,661,898.90","8,319,054.82",# of educational facilities constructed or improved,2.0,8.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"679,880.92","746,619.21","1,426,500.13",# of education programmes with life skills initiatives,400.0,500.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,0.00,"220,216.82","220,216.82",% of schools that provide students with daily access to supplementary reading material,,65.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Measures to promote girls' education promoted,"159,714.83",0.00,"159,714.83",# of measures in place to facilitate women and girls' access to education,270.0,270.0,,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Sectoral cash grants or vouchers provided,"695,765.92","593,872.11","1,289,638.03",# of households receiving conditional cash grants or vouchers for education,"8,000.0","9,540.0",,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Sports/recreation programme provided or supported,0.00,"185,732.82","185,732.82",# of PoC participating in UNHCR supported school-based sports/recreation activities,,"15,240.0",,
Islamic Republic of Iran,Afghan refugees and asylum seekers,,2014,,,,,,,,,,,Use of technology in education service provision expanded,"265,581.74","3,969,971.67","4,235,553.41",# of schools that have received support for technology maintenance,100.0,150.0,,
Islamic Republic of Iran,Iraqi refugees,Population has optimal access to education,2014,"339,885.98","41,031.01","380,916.99",Extent persons of concern have access to national education systems,75.0,,80.0,,,80.0,,,,,,,,,
Islamic Republic of Iran,Iraqi refugees,,2014,,,,,,,,,,,Measures to promote girls' education promoted,"122,554.39",0.00,"122,554.39",# of measures in place to facilitate women and girls' access to education,50.0,50.0,,
Islamic Republic of Iran,Iraqi refugees,,2014,,,,,,,,,,,Sectoral cash grants or vouchers provided,"85,777.20","41,031.01","126,808.21",# of households receiving conditional cash grants or vouchers for education,250.0,900.0,,
Islamic Republic of Iran,Iraqi refugees,,2014,,,,,,,,,,,Use of technology in education service provision expanded,"131,554.39",0.00,"131,554.39",# of schools that have received support for technology maintenance,5.0,5.0,,
Israel,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"38,820.26",0.00,"38,820.26",Extent persons of concern have access to national education systems,90.0,95.0,95.0,,,80.0,,,,,,,,,
Israel,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"38,820.26",0.00,"38,820.26",# of PoC enrolled in language classes,200.0,200.0,,
Jordan,Refugees and asylum seekers in Jordan,Population has optimal access to education,2014,"228,199.72","70,000.00","298,199.72",% of primary school-aged children enrolled in primary education,70.0,75.0,85.0,,,100.0,,,,,,,,,
Jordan,Refugees and asylum seekers in Jordan,Population has optimal access to education,2014,"228,199.72","70,000.00","298,199.72",% of secondary school-aged young people enrolled in secondary education,60.0,65.0,80.0,,,80.0,,,,,,,,,
Jordan,Refugees and asylum seekers in Jordan,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"102,733.24","10,000.00","112,733.24",# of grade 3 students who can read at grade 3 level,250.0,280.0,,
Jordan,Refugees and asylum seekers in Jordan,,2014,,,,,,,,,,,Primary education provided or supported,"82,733.24","60,000.00","142,733.24",# of children enrolled in primary education,"30,000.0","38,000.0",,
Jordan,Refugees and asylum seekers in Jordan,,2014,,,,,,,,,,,Secondary education provided or supported,"42,733.24",0.00,"42,733.24",# of students enrolled in lower secondary education,"7,000.0","7,400.0",,
Kenya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"481,839.75","303,916.37","785,756.12",% of children aged 3-5 yrs enrolled in early childhood education,1.4,7.0,20.0,,,80.0,,,,,,,,,
Kenya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"481,839.75","303,916.37","785,756.12",% of primary school-aged children enrolled in primary education,90.0,90.0,100.0,,,100.0,,,,,,,,,
Kenya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"481,839.75","303,916.37","785,756.12",% of secondary school-aged young people enrolled in secondary education,0.8,5.0,10.0,,,80.0,,,,,,,,,
Kenya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"481,839.75","303,916.37","785,756.12",Extent persons of concern have access to national education systems,80.0,90.0,100.0,,,80.0,,,,,,,,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Advocacy conducted,"44,806.54","34,219.81","79,026.35",Strategy to promote admission of PoC to national education system established (yes/no),90.0,100.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Capacity development supported,"45,966.50","38,279.67","84,246.17",# of government staff trained,200.0,250.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Capacity development supported,"45,966.50","38,279.67","84,246.17",# of school management members trained,200.0,600.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Capacity development supported,"45,966.50","38,279.67","84,246.17",# of teachers who received supplementary training,300.0,400.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"95,844.71","41,179.56","137,024.27",# of children aged 3-5 enrolled in early childhood education,80.0,100.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"42,486.63","34,219.81","76,706.44",# of PoC enrolled in literacy classes,"4,000.0","5,000.0",,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"84,245.12","64,378.73","148,623.85",# of children enrolled in primary education,"8,100.0","9,000.0",,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Safe learning environments promoted,"54,086.21","43,499.48","97,585.69",# of children with specific needs enrolled in school,15.0,20.0,,
Kenya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"114,404.04","48,139.31","162,543.35",# of students enrolled in lower secondary education,80.0,100.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Population has optimal access to education,2014,"2,233,718.45","4,690,960.60","6,924,679.05",% of children aged 3-5 yrs enrolled in early childhood education,22.3,28.0,38.0,,,80.0,,,,,,,,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Population has optimal access to education,2014,"2,233,718.45","4,690,960.60","6,924,679.05",% of primary school-aged children enrolled in primary education,44.9,46.5,50.0,,,100.0,,,,,,,,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Population has optimal access to education,2014,"2,233,718.45","4,690,960.60","6,924,679.05",% of secondary school-aged young people enrolled in secondary education,19.0,22.0,25.0,,,80.0,,,,,,,,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,Population has optimal access to education,2014,"2,233,718.45","4,690,960.60","6,924,679.05",% of teachers with professional teaching qualifications,87.0,95.0,100.0,,,70.0,,,,,,,,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Early childhood education provided or supported,"137,807.09","32,076.92","169,884.01",# of children aged 3-5 enrolled in early childhood education,"3,402.0","4,617.0",,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","145,521.09","2,714,765.92","2,860,287.01",# of children per classroom (primary school),70.0,60.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","145,521.09","2,714,765.92","2,860,287.01",# of children per desk (primary school),3.0,3.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","145,521.09","2,714,765.92","2,860,287.01",# of children per latrine (primary school),55.0,45.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","145,521.09","2,714,765.92","2,860,287.01",# of educational facilities constructed or improved,10.0,103.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"1,361,703.09","311,856.92","1,673,560.01",# of children per teacher,70.0,60.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"1,361,703.09","311,856.92","1,673,560.01",# of teachers enrolled in on-going in-service training leading to teacher certification,60.0,60.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"1,361,703.09","311,856.92","1,673,560.01",# of teachers with professional teaching qualifications,408.0,429.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"1,361,703.09","311,856.92","1,673,560.01",% of female primary education teachers,16.7,19.0,,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Primary education provided or supported,"361,969.09","1,329,913.92","1,691,883.01",# of children enrolled in primary education,"28,000.0","30,000.0",,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Primary education provided or supported,"361,969.09","1,329,913.92","1,691,883.01",# of children enrolled in primary education in the correct grade for their age,"12,880.0","15,000.0",,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Secondary education provided or supported,"226,718.09","302,346.92","529,065.01",# of students enrolled in lower secondary education,"1,200.0","1,320.0",,
Kenya,Refugees and asylum seekers of various nationalities in Kakuma camp,,2014,,,,,,,,,,,Secondary education provided or supported,"226,718.09","302,346.92","529,065.01",# of students enrolled in upper secondary education,800.0,880.0,,
Kyrgyzstan,Refugees and asylum seekers,Population has optimal access to education,2014,"88,591.38","50,502.78","139,094.16",% of primary school-aged children enrolled in primary education,80.0,80.0,90.0,,,100.0,,,,,,,,,
Kyrgyzstan,Refugees and asylum seekers,Population has optimal access to education,2014,"88,591.38","50,502.78","139,094.16",% of secondary school-aged young people enrolled in secondary education,75.0,75.0,80.0,,,80.0,,,,,,,,,
Kyrgyzstan,Refugees and asylum seekers,,2014,,,,,,,,,,,Primary education provided or supported,"45,795.69","28,751.39","74,547.08",# of children enrolled in primary education,80.0,95.0,,
Kyrgyzstan,Refugees and asylum seekers,,2014,,,,,,,,,,,Secondary education provided or supported,"42,795.69","21,751.39","64,547.08",# of students enrolled in lower secondary education,40.0,52.0,,
Kyrgyzstan,Refugees and asylum seekers,,2014,,,,,,,,,,,Secondary education provided or supported,"42,795.69","21,751.39","64,547.08",# of students enrolled in upper secondary education,30.0,42.0,,
Lebanon,Refugees and asylum seekers in Lebanon,Population has optimal access to education,2014,"506,793.12","276,861.84","783,654.96",% of children aged 3-5 yrs enrolled in early childhood education,45.0,33.0,33.0,,,80.0,,,,,,,,,
Lebanon,Refugees and asylum seekers in Lebanon,Population has optimal access to education,2014,"506,793.12","276,861.84","783,654.96",% of primary school-aged children enrolled in primary education,72.0,85.0,100.0,,,100.0,,,,,,,,,
Lebanon,Refugees and asylum seekers in Lebanon,Population has optimal access to education,2014,"506,793.12","276,861.84","783,654.96",% of secondary school-aged young people enrolled in secondary education,43.0,50.0,75.0,,,80.0,,,,,,,,,
Lebanon,Refugees and asylum seekers in Lebanon,,2014,,,,,,,,,,,Early childhood education provided or supported,"50,316.78","19,215.46","69,532.24",# of children aged 3-5 enrolled in early childhood education,184.0,184.0,,
Lebanon,Refugees and asylum seekers in Lebanon,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"50,316.78","19,215.46","69,532.24",# of students attending language of instruction classes,108.0,581.0,,
Lebanon,Refugees and asylum seekers in Lebanon,,2014,,,,,,,,,,,Primary education provided or supported,"355,842.78","219,215.46","575,058.24",# of children enrolled in primary education,904.0,"1,130.0",,
Lebanon,Refugees and asylum seekers in Lebanon,,2014,,,,,,,,,,,Secondary education provided or supported,"50,316.78","19,215.46","69,532.24",# of students enrolled in lower secondary education,588.0,400.0,,
Lebanon,Refugees and asylum seekers in Lebanon,,2014,,,,,,,,,,,Secondary education provided or supported,"50,316.78","19,215.46","69,532.24",# of students enrolled in upper secondary education,221.0,138.0,,
Liberia,Refugees and Asylum seekers in Liberia,Population has optimal access to education,2014,"1,591,200.20","1,250,883.84","2,842,084.04",% of children aged 3-5 yrs enrolled in early childhood education,40.0,70.0,100.0,,,80.0,,,,,,,,,
Liberia,Refugees and Asylum seekers in Liberia,Population has optimal access to education,2014,"1,591,200.20","1,250,883.84","2,842,084.04",% of primary school-aged children enrolled in primary education,30.0,50.0,100.0,,,100.0,,,,,,,,,
Liberia,Refugees and Asylum seekers in Liberia,Population has optimal access to education,2014,"1,591,200.20","1,250,883.84","2,842,084.04",% of secondary school-aged young people enrolled in secondary education,30.0,60.0,80.0,,,80.0,,,,,,,,,
Liberia,Refugees and Asylum seekers in Liberia,Population has optimal access to education,2014,"1,591,200.20","1,250,883.84","2,842,084.04",% of teachers who are female,20.0,45.0,50.0,,,50.0,,,,,,,,,
Liberia,Refugees and Asylum seekers in Liberia,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"129,827.30","185,613.96","315,441.26",# of PoC enrolled in UNHCR supported tertiary education programmes,20.0,50.0,,
Liberia,Refugees and Asylum seekers in Liberia,,2014,,,,,,,,,,,Early childhood education provided or supported,"129,827.30","231,541.96","361,369.26",# of children aged 3-5 enrolled in early childhood education,"2,000.0","2,500.0",,
Liberia,Refugees and Asylum seekers in Liberia,,2014,,,,,,,,,,,Primary education provided or supported,"831,718.30","535,613.96","1,367,332.26",# of children enrolled in primary education,"7,000.0","8,651.0",,
Liberia,Refugees and Asylum seekers in Liberia,,2014,,,,,,,,,,,Secondary education provided or supported,"499,827.30","298,113.96","797,941.26",# of students enrolled in lower secondary education,"1,500.0","2,000.0",,
Liberia,Refugees and Asylum seekers in Liberia,,2014,,,,,,,,,,,Secondary education provided or supported,"499,827.30","298,113.96","797,941.26",# of students enrolled in upper secondary education,"1,000.0","1,500.0",,
Libya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"270,047.08","320,588.24","590,635.32",% of primary school-aged children enrolled in primary education,70.0,70.0,100.0,,,100.0,,,,,,,,,
Libya,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"270,047.08","320,588.24","590,635.32",Extent persons of concern have access to national education systems,70.0,70.0,100.0,,,80.0,,,,,,,,,
Libya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Advocacy conducted,"60,023.54","60,294.12","120,317.66",# of sensitization and community mobilization campaigns conducted to promote school enrollment,15.0,30.0,,
Libya,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"210,023.54","260,294.12","470,317.66",# of children enrolled in primary education,"1,000.0","2,000.0",,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Population has optimal access to education,2014,"404,681.67","304,209.96","708,891.63",% of children aged 3-5 yrs enrolled in early childhood education,30.0,40.0,50.0,,,80.0,,,,,,,,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Population has optimal access to education,2014,"404,681.67","304,209.96","708,891.63",% of primary school-aged children enrolled in primary education,83.0,90.0,90.0,,,100.0,,,,,,,,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Population has optimal access to education,2014,"404,681.67","304,209.96","708,891.63",% of teachers with professional teaching qualifications,40.0,60.0,60.0,,,70.0,,,,,,,,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"23,647.87",0.00,"23,647.87",# of children aged 3-5 enrolled in early childhood education,300.0,300.0,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"23,647.87",0.00,"23,647.87",% of children aged 3-5 enrolled in early childhood education who are not registered PoC,75.0,75.0,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"217,989.87",0.00,"217,989.87",# of children enrolled in primary education,"4,035.0","4,035.0",,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"163,043.93","304,209.96","467,253.89",# of students enrolled in lower secondary education,300.0,400.0,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"163,043.93","304,209.96","467,253.89",# of students enrolled in upper secondary education,200.0,300.0,,
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"163,043.93","304,209.96","467,253.89",% of upper secondary school graduates (successful completion of final grade),75.0,90.0,,
Malaysia,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"1,332,565.77","2,343,112.33","3,675,678.10",% of children aged 3-5 yrs enrolled in early childhood education,6.5,10.0,15.0,,,80.0,,,,,,,,,
Malaysia,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"1,332,565.77","2,343,112.33","3,675,678.10",% of primary school-aged children enrolled in primary education,39.0,50.0,60.0,,,100.0,,,,,,,,,
Malaysia,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"1,332,565.77","2,343,112.33","3,675,678.10",% of secondary school-aged young people enrolled in secondary education,7.0,10.0,15.0,,,80.0,,,,,,,,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"92,841.26","159,900.28","252,741.54",# of children aged 3-5 enrolled in early childhood education,390.0,585.0,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Education monitoring system established,"537,081.09","1,004,739.00","1,541,820.09",# of months this calendar year during which an education monitoring system has been functioning,11.0,12.0,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"506,960.90","586,930.55","1,093,891.45",# of children enrolled in primary education,"5,225.0","6,270.0",,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"506,960.90","586,930.55","1,093,891.45",# of PoC enrolled in accelerated learning programmes,145.0,200.0,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"102,841.26","189,577.70","292,418.96",# of students enrolled in lower secondary education,300.0,350.0,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"102,841.26","189,577.70","292,418.96",# of students enrolled in upper secondary education,60.0,100.0,,
Malaysia,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Use of technology in education service provision expanded,"92,841.26","401,964.80","494,806.06",% of primary schools providing students daily access to computers,30.0,50.0,,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,Population has optimal access to education,2014,"72,865.40","366,000.00","438,865.40",% of primary school-aged children enrolled in primary education,10.0,20.0,40.0,,,100.0,,,,,,,,,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,,2014,,,,,,,,,,,Advocacy conducted,"8,591.35","18,000.00","26,591.35",# of sensitization and community mobilization campaigns conducted to promote school enrollment,1.0,4.0,,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,,2014,,,,,,,,,,,Education monitoring system established,"8,591.35","3,000.00","11,591.35",# of partners recording education achievement statistics,1.0,1.0,,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","31,591.35","175,000.00","206,591.35",# of schools that have received support for maintenance,1.0,8.0,,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,,2014,,,,,,,,,,,Primary education provided or supported,"24,091.35","150,000.00","174,091.35",# of children enrolled in primary education,600.0,"1,750.0",,
Mali,Refugees and Asylum Seekers from Mauritania in Mali,,2014,,,,,,,,,,,Sports/recreation programme provided or supported,0.00,"20,000.00","20,000.00",# of active youth clubs or committees,,40.0,,
Mali,Refugees and Asylum Seekers in Mali,Population has optimal access to education,2014,"64,200.00","23,800.00","88,000.00",% of primary school-aged children enrolled in primary education,60.0,68.0,80.0,,,100.0,,,,,,,,,
Mali,Refugees and Asylum Seekers in Mali,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"13,000.00","3,000.00","16,000.00",# of PoC enrolled in UNHCR supported tertiary education programmes,50.0,60.0,,
Mali,Refugees and Asylum Seekers in Mali,,2014,,,,,,,,,,,Primary education provided or supported,"26,800.00","11,200.00","38,000.00",# of children enrolled in primary education,120.0,120.0,,
Mali,Refugees and Asylum Seekers in Mali,,2014,,,,,,,,,,,Secondary education provided or supported,"24,400.00","9,600.00","34,000.00",# of students enrolled in lower secondary education,100.0,100.0,,
Mauritania,Malian refugees in Mauritania,Population has optimal access to education,2014,"720,050.07","135,121.50","855,171.57",% of primary school-aged children enrolled in primary education,30.0,70.0,100.0,,,100.0,,,,,,,,,
Mauritania,Malian refugees in Mauritania,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","185,376.00","135,121.50","320,497.50",# of schools that have received support for maintenance,6.0,10.0,,
Mauritania,Malian refugees in Mauritania,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"177,636.03",0.00,"177,636.03",# of children per teacher,70.0,70.0,,
Mauritania,Malian refugees in Mauritania,,2014,,,,,,,,,,,Primary education provided or supported,"357,038.04",0.00,"357,038.04",# of children enrolled in primary education,"14,000.0","14,000.0",,
Mauritania,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"104,959.70",0.00,"104,959.70",% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Mauritania,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"104,959.70",0.00,"104,959.70",% of secondary school-aged young people enrolled in secondary education,100.0,100.0,100.0,,,80.0,,,,,,,,,
Mauritania,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"63,953.85",0.00,"63,953.85",# of children enrolled in primary education,120.0,120.0,,
Mauritania,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"41,005.85",0.00,"41,005.85",# of students enrolled in upper secondary education,65.0,65.0,,
Mexico,Refugees and asylum seekers in Mexico,Population has optimal access to education,2014,"18,472.40","44,641.24","63,113.64",% of primary school-aged children enrolled in primary education,60.0,60.0,65.0,,,100.0,,,,,,,,,
Mexico,Refugees and asylum seekers in Mexico,,2014,,,,,,,,,,,Sectoral cash grants or vouchers provided,"18,472.40","44,641.24","63,113.64",# of households receiving conditional cash grants or vouchers for education,20.0,35.0,,
Morocco,Refugees and asylum seekers,Population has optimal access to education,2014,"219,708.53","129,307.93","349,016.46",% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0,,,,,,,,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Advocacy conducted,"19,397.21","10,344.95","29,742.16",# of families identified with school-aged children out of school,6.0,6.0,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Advocacy conducted,"19,397.21","10,344.95","29,742.16",Strategy to promote admission of PoC to national education system established (yes/no),100.0,100.0,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Primary education provided or supported,"63,125.91","22,099.98","85,225.89",# of children enrolled in primary education,55.0,55.0,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Secondary education provided or supported,"32,797.94","10,344.95","43,142.89",# of students enrolled in lower secondary education,35.0,45.0,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Sectoral cash grants or vouchers provided,"73,235.23","64,418.07","137,653.30",# of households receiving conditional cash grants or vouchers for education,50.0,60.0,,
Morocco,Refugees and asylum seekers,,2014,,,,,,,,,,,Sports/recreation programme provided or supported,"31,152.24","22,099.98","53,252.22",# of PoC participating in UNHCR supported school-based sports/recreation activities,50.0,100.0,,
Mozambique,Refugees and asylum seekers in camps,Population has optimal access to education,2014,"208,715.79","98,364.80","307,080.59",% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Mozambique,Refugees and asylum seekers in camps,Population has optimal access to education,2014,"208,715.79","98,364.80","307,080.59",% of secondary school-aged young people enrolled in secondary education,57.0,65.0,80.0,,,80.0,,,,,,,,,
Mozambique,Refugees and asylum seekers in camps,,2014,,,,,,,,,,,Early childhood education provided or supported,"8,781.53","91,682.40","100,463.93",# of children aged 3-5 enrolled in early childhood education,180.0,200.0,,
Mozambique,Refugees and asylum seekers in camps,,2014,,,,,,,,,,,Education monitoring system established,"17,563.03",0.00,"17,563.03",# of education assessments/surveys undertaken,1.0,1.0,,
Mozambique,Refugees and asylum seekers in camps,,2014,,,,,,,,,,,Primary education provided or supported,"153,589.70",0.00,"153,589.70",# of children enrolled in primary education,"1,550.0","1,550.0",,
Mozambique,Refugees and asylum seekers in camps,,2014,,,,,,,,,,,Secondary education provided or supported,"28,781.53","6,682.40","35,463.93",# of students enrolled in lower secondary education,130.0,150.0,,
Mozambique,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"20,290.30","18,942.82","39,233.12",Extent persons of concern have access to national education systems,85.0,90.0,100.0,,,80.0,,,,,,,,,
Mozambique,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"10,145.15","9,471.41","19,616.56",# of children enrolled in primary education,280.0,320.0,,
